"clase","Opinion","Todos","GBA2","CABA","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Axel Kicillof","Muy buena",0.289,0.3,0.263,0.272,0.305,0.234,0.313,0.303,0.288,0.316,0.261,0.303,0.529,0.076,0.186
"Axel Kicillof","Buena",0.111,0.117,0.097,0.103,0.119,0.105,0.108,0.119,0.114,0.132,0.109,0.098,0.167,0.043,0.115
"Axel Kicillof","Ni buena ni mala",0.114,0.118,0.104,0.095,0.131,0.122,0.12,0.096,0.115,0.129,0.128,0.085,0.11,0.088,0.178
"Axel Kicillof","Mala",0.128,0.119,0.149,0.136,0.12,0.162,0.099,0.13,0.143,0.146,0.129,0.114,0.062,0.184,0.201
"Axel Kicillof","Muy mala",0.347,0.336,0.374,0.382,0.315,0.358,0.351,0.347,0.329,0.26,0.364,0.392,0.119,0.603,0.316
"Axel Kicillof","No sabe",0.011,0.01,0.013,0.012,0.01,0.019,0.009,0.005,0.011,0.017,0.009,0.008,0.013,0.006,0.004
"Malena Galmarini","Muy buena",0.081,0.085,0.07,0.073,0.088,0.072,0.072,0.09,0.095,0.104,0.068,0.078,0.127,0.038,0.12
"Malena Galmarini","Buena",0.146,0.155,0.127,0.138,0.154,0.156,0.128,0.16,0.153,0.136,0.16,0.137,0.257,0.047,0.111
"Malena Galmarini","Ni buena ni mala",0.26,0.255,0.273,0.247,0.272,0.251,0.286,0.233,0.253,0.261,0.26,0.26,0.331,0.161,0.327
"Malena Galmarini","Mala",0.141,0.134,0.157,0.143,0.14,0.13,0.143,0.133,0.162,0.167,0.146,0.116,0.11,0.161,0.159
"Malena Galmarini","Muy mala",0.302,0.294,0.318,0.333,0.272,0.263,0.308,0.331,0.298,0.228,0.307,0.35,0.1,0.535,0.251
"Malena Galmarini","No sabe",0.07,0.077,0.055,0.066,0.074,0.128,0.063,0.053,0.039,0.104,0.059,0.059,0.075,0.058,0.032
"Horacio Rodriguez Larreta","Muy buena",0.081,0.075,0.095,0.064,0.097,0.055,0.089,0.075,0.104,0.11,0.078,0.062,0.048,0.114,0.139
"Horacio Rodriguez Larreta","Buena",0.154,0.156,0.148,0.138,0.169,0.13,0.165,0.146,0.171,0.139,0.154,0.164,0.116,0.202,0.158
"Horacio Rodriguez Larreta","Ni buena ni mala",0.291,0.309,0.251,0.282,0.3,0.23,0.289,0.301,0.357,0.321,0.299,0.26,0.279,0.3,0.318
"Horacio Rodriguez Larreta","Mala",0.268,0.265,0.276,0.283,0.255,0.289,0.252,0.285,0.256,0.252,0.251,0.303,0.34,0.2,0.21
"Horacio Rodriguez Larreta","Muy mala",0.195,0.182,0.225,0.226,0.165,0.274,0.199,0.184,0.103,0.159,0.209,0.205,0.201,0.181,0.175
"Horacio Rodriguez Larreta","No sabe",0.011,0.013,0.005,0.007,0.014,0.022,0.006,0.009,0.009,0.019,0.009,0.006,0.016,0.003,0
"Alberto Fernandez","Muy buena",0.057,0.057,0.059,0.042,0.071,0.067,0.063,0.058,0.033,0.123,0.042,0.027,0.076,0.039,0.128
"Alberto Fernandez","Buena",0.093,0.105,0.064,0.078,0.106,0.073,0.077,0.112,0.124,0.114,0.098,0.07,0.154,0.036,0.054
"Alberto Fernandez","Ni buena ni mala",0.223,0.244,0.173,0.23,0.216,0.196,0.218,0.242,0.241,0.248,0.226,0.2,0.362,0.079,0.202
"Alberto Fernandez","Mala",0.236,0.219,0.277,0.212,0.259,0.241,0.242,0.202,0.264,0.219,0.24,0.245,0.251,0.205,0.281
"Alberto Fernandez","Muy mala",0.389,0.374,0.424,0.436,0.346,0.423,0.398,0.385,0.334,0.296,0.393,0.454,0.155,0.64,0.335
"Alberto Fernandez","No sabe",0.002,0.001,0.003,0.002,0.002,0,0.002,0.001,0.004,0,0.001,0.004,0.002,0.001,0
