clave	texto
encuesta_especial	Preferencias electorales: Elecciones Intendente Cutral Có 2023 - Corte 2 Julio 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	17/07/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Municipio de Cutral Có, Nuequén
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Tamaño muestral
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 16/07/2023 al 17/07/2023 abarcando 298 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 5.68 %
