clave	texto
encuesta_especial	Posicionamiento Político - Cipoletti, Abril 2024
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	12/04/2024
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Cipoletti, Provincia de Río Negro
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Aleatorio simple
ficha_Tamaño muestral	La captura de datos se llevó a cabo del 07/04/2023 al 10/04/2024 abarcando 192 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 7.07 %
