"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar"
"P16_imputada_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.036,0.151
"P16_imputada_votan","Otros",0.036,0
"P16_imputada_votan","En blanco",0.006,0.066
"P09_imputada_votan","Unión por la Patria",0.317,0.257
"P09_imputada_votan","Juntos por el Cambio",0.429,0.385
"P09_imputada_votan","De los liberales libertarios",0.166,0.117
"P09_imputada_votan","De la Izquierda",0.039,0.093
"P09_imputada_votan","Hacemos por nuestro país",0.001,0
"P09_imputada_votan","Otro",0.029,0.017
"P09_imputada_votan","En blanco",0.019,0.131
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.221,0.162
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.103,0.116
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.276,0.2
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.161,0.158
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.189
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.018,0.051
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.025
"P12_imputada_votan","Otros",0.035,0.078
"P12_imputada_votan","En blanco",0.01,0.021
"P15_imputada_votan","Union por la Patria",0.363,0.286
"P15_imputada_votan","Cambiemos",0.445,0.468
"P15_imputada_votan","Liberales",0.158,0.192
"P15_imputada_votan","Izquierda",0.034,0.054
"P16_imputada_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.303,0.217
"P16_imputada_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.328,0.208
"P16_imputada_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.188,0.243
"P16_imputada_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.103,0.115
"P16_imputada_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.036,0.151
"P16_imputada_votan","Otros",0.036,0
"P16_imputada_votan","En blanco",0.006,0.066
"P09_imputada_votan","Unión por la Patria",0.317,0.257
"P09_imputada_votan","Juntos por el Cambio",0.429,0.385
"P09_imputada_votan","De los liberales libertarios",0.166,0.117
"P09_imputada_votan","De la Izquierda",0.039,0.093
"P09_imputada_votan","Hacemos por nuestro país",0.001,0
"P09_imputada_votan","Otro",0.029,0.017
"P09_imputada_votan","En blanco",0.019,0.131
"P12_imputada_votan","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.221,0.162
"P12_imputada_votan","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.103,0.116
"P12_imputada_votan","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.276,0.2
"P12_imputada_votan","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.161,0.158
"P12_imputada_votan","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.189
"P12_imputada_votan","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.018,0.051
"P12_imputada_votan","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.025
"P12_imputada_votan","Otros",0.035,0.078
"P12_imputada_votan","En blanco",0.01,0.021
"P15_imputada_votan","Union por la Patria",0.363,0.286
"P15_imputada_votan","Cambiemos",0.445,0.468
"P15_imputada_votan","Liberales",0.158,0.192
"P15_imputada_votan","Izquierda",0.034,0.054
"P16_imputada_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.303,0.217
"P16_imputada_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.328,0.208
"P16_imputada_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.188,0.243
"P16_imputada_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.103,0.115
"P16_imputada_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.036,0.151
"P16_imputada_votan","Otros",0.036,0
"P16_imputada_votan","En blanco",0.006,0.066
