"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.174,0.231,0.266,0.352,0.23,0.347,0.149
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.355,0.277,0.356,0.306,0.295,0.327,0.256
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.353,0.295,0.118,0.083,0.13,0.1,0.208
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.101,0.1,0.076,0.094,0.063,0.082,0.136
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.006,0.073,0.175,0.146,0.164,0.121,0.224
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.011,0.024,0.009,0.019,0.118,0.023,0.027
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.125,0.241,0.334,0.381,0.267,0.314,0.277
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.487,0.352,0.311,0.313,0.199,0.291,0.193
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.284,0.165,0.14,0.049,0.156,0.119,0.166
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.087,0.176,0.115,0.062,0.126,0.083,0.198
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.011,0.048,0.091,0.183,0.15,0.159,0.139
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.006,0.018,0.009,0.012,0.102,0.034,0.027
